date,IPAM_round,picture,Frag_number,IPAM_file,AOI,tank,PAR,F_value,Fm_value,YII_value
08-Jul-19,round_1,23,35,r1_23_ben.csv,3,T2,0,0.1544,0.3892,0.603
08-Jul-19,round_1,23,29,r1_23_ben.csv,4,T2,0,0.177,0.4441,0.602
08-Jul-19,round_1,23,29,r1_23_ben.csv,5,T2,0,0.1789,0.4451,0.598
08-Jul-19,round_1,23,29,r1_23_ben.csv,6,T2,0,0.1475,0.3672,0.598
08-Jul-19,round_1,23,154,r1_23_ben.csv,7,T2,0,0.1868,0.4975,0.625
08-Jul-19,round_1,23,154,r1_23_ben.csv,8,T2,0,0.1686,0.4485,0.624
08-Jul-19,round_1,23,154,r1_23_ben.csv,9,T2,0,0.173,0.4475,0.613
08-Jul-19,round_1,23,13,r1_23_ben.csv,10,T2,0,0.1853,0.5147,0.64
08-Jul-19,round_1,23,13,r1_23_ben.csv,11,T2,0,0.201,0.5525,0.636
08-Jul-19,round_1,23,13,r1_23_ben.csv,12,T2,0,0.1809,0.498,0.637
08-Jul-19,round_1,24,52,r1_24_ben.csv,1,T2,0,0.1941,0.4868,0.601
08-Jul-19,round_1,24,52,r1_24_ben.csv,2,T2,0,0.1686,0.4319,0.61
08-Jul-19,round_1,24,52,r1_24_ben.csv,3,T2,0,0.15,0.3897,0.615
08-Jul-19,round_1,24,107,r1_24_ben.csv,4,T2,0,0.1652,0.3966,0.583
08-Jul-19,round_1,24,107,r1_24_ben.csv,5,T2,0,0.1799,0.449,0.599
08-Jul-19,round_1,24,107,r1_24_ben.csv,6,T2,0,0.1647,0.4137,0.602
08-Jul-19,round_1,24,108,r1_24_ben.csv,7,T2,0,0.1824,0.4716,0.613
08-Jul-19,round_1,24,108,r1_24_ben.csv,8,T2,0,0.1588,0.4074,0.61
08-Jul-19,round_1,24,108,r1_24_ben.csv,9,T2,0,0.1495,0.3779,0.604
08-Jul-19,round_1,24,18,r1_24_ben.csv,10,T2,0,0.2015,0.5142,0.608
08-Jul-19,round_1,24,18,r1_24_ben.csv,11,T2,0,0.1809,0.4652,0.611
08-Jul-19,round_1,24,18,r1_24_ben.csv,12,T2,0,0.1588,0.4103,0.613
