Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
8/7/2019 08:35:06.955,28.014459,28.461941,27.524933,27.514656,24.115826,28.436075,28.085417,27.515754,28.050094,28.072484,27.536178,28.061977,27.520098,25.369005,28.020212,28.036128
8/7/2019 08:40:11.038,27.991069,28.453811,27.510525,27.559683,24.126136,28.398867,28.075762,27.539554,28.039554,28.0596,27.515082,28.048864,27.491774,25.387199,27.992068,28.000182
8/7/2019 08:45:07.266,28.027097,28.423618,27.500084,27.551307,24.113662,28.392573,28.048946,27.522688,28.018344,28.033883,27.498232,28.01954,27.52908,25.382069,28.014557,27.988675
8/7/2019 08:50:09.159,28.00092,28.390442,27.533326,27.532949,24.120678,28.432863,28.021901,27.496167,27.988085,27.999412,27.516836,27.98443,27.553323,25.278361,28.063846,28.043783
8/7/2019 08:55:09.038,28.004477,28.40108,27.544636,27.515361,24.115498,28.456253,27.990118,27.528687,28.044537,27.997789,27.562109,28.035243,27.541046,25.241563,28.050782,28.092678
8/7/2019 09:00:07.712,28.033571,28.466203,27.523098,27.501133,24.112941,28.438813,28.006575,27.53167,28.04834,28.07032,27.55629,28.049405,27.512935,25.251643,28.025769,28.092055
8/7/2019 09:05:06.965,28.004034,28.457023,27.511066,27.520311,24.11776,28.395474,28.074828,27.512673,28.025343,28.068583,27.536965,28.022884,27.500183,25.267068,27.993675,28.077041
8/7/2019 09:10:09.881,28.007624,28.427519,27.500281,27.569042,24.120612,28.387442,28.086597,27.495904,27.997461,28.04357,27.528179,27.993691,27.515082,25.290523,28.006591,28.044012
8/7/2019 09:15:06.091,28.032325,28.395425,27.52536,27.559289,24.121383,28.425634,28.066108,27.538522,28.011246,28.017409,27.507641,28.021704,27.509935,25.323372,28.078696,28.032063
8/7/2019 09:20:11.673,27.997412,28.399031,27.54816,27.542357,24.115236,28.469841,28.033522,27.535342,28.062354,27.987315,27.498658,28.059961,27.503854,25.35681,28.066157,28.004559
8/7/2019 09:25:07.786,28.012426,28.45586,27.539997,27.529851,24.114253,28.453925,28.012115,27.507804,28.041963,28.027474,27.537637,28.03503,27.515607,25.386232,28.044324,27.989544
8/7/2019 09:30:08.183,28.022409,28.465711,27.526687,27.509903,24.117711,28.421553,27.979398,27.501297,28.019475,28.082352,27.544603,28.010312,27.533162,25.396362,28.009902,28.028867
8/7/2019 09:35:06.246,27.998658,28.439485,27.515361,27.491135,24.127513,28.386918,28.018753,27.525851,27.995265,28.067059,27.517197,27.988053,27.534883,25.27664,27.998609,28.082745
8/7/2019 09:40:09.334,28.015983,28.405833,27.492823,27.535539,24.121842,28.394753,28.082581,27.517869,28.036292,28.049635,27.511411,28.052142,27.512771,25.244218,28.041242,28.08304
8/7/2019 09:45:09.841,28.026359,28.37469,27.526441,27.555651,24.125071,28.451663,28.075795,27.490643,28.044865,28.007935,27.497199,28.048799,27.493347,25.255807,28.065649,28.07055
8/7/2019 09:50:09.595,27.995986,28.430978,27.544013,27.545914,24.122333,28.471759,28.058961,27.530572,28.030063,28.000182,27.52218,28.02767,27.529162,25.275411,28.045897,28.042832
8/7/2019 09:55:06.386,28.019425,28.46099,27.536686,27.533572,24.127611,28.454286,28.031735,27.521967,28.005018,28.015787,27.54398,27.986561,27.555601,25.307652,28.031834,28.024605
8/7/2019 10:00:11.558,28.033178,28.433879,27.525786,27.513279,24.13425,28.419602,28.005231,27.495495,27.999035,28.076074,27.537424,28.022917,27.544373,25.333796,28.003018,28.006575
8/7/2019 10:05:10.277,28.003755,28.404604,27.510525,27.49456,24.133283,28.386066,27.982447,27.525032,28.049749,28.057011,27.513525,28.057027,27.525376,25.362957,28.000379,27.992675
8/7/2019 10:10:07.933,28.010656,28.382214,27.502461,27.524458,24.132234,28.389524,28.042554,27.538079,28.041734,28.033833,27.509591,28.037751,27.503051,25.39646,28.062813,28.045963
