,Frag_number,Genotype,Recovery_tank,Recovery_notes,Heat_stress_tank,ERL_tank_number,Tank_treatment,Disease_treatment?,D_touch_tank,D_treatment,Jar_allocation,sample_tubes,photos_initial,photo_number,photo_bw_hole,Initial_health,initial_notes,D_touch_tank,Jar_allocation,8aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,9aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,10aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,11aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,12aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,13aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,14aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,15aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,16aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,17aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Frag_number
144,20,ML2,4,ok,5,9,heat,disease,2,s_m_placebo,5,"56,57",yes,245,246,healthy,,2,5,diseased,no-check_tomorrow,,19,20,,diseased ,,,13,14,no-check_tomorrow,5,diseased,yes,198,113,114,,5,dead,,,147,148,removed,5,dead,na,na,na,na,na,5,dead,na,na,na,na,na,5,dead,na,na,na,na,na,5,dead,na,na,na,na,na,5,dead,na,na,na,na,na,5,dead,na,na,na,na,na,20
149,92,CN2,4,ok,2,3,ambient,disease,2,placebo_slurry,6,58,yes,247,248,healthy,,2,6,diseased,YES,187,17,18,,diseased ,,,15,16,,6,diseased,,,115,116,,6,diseased,,,149,150,,6,diseased,,,11,12,,6,diseased,,,19,20,check this evening,6,diseased,,,21,22,check this evening,6,diseased,,,19,20,check this evening,6,diseased,,,19,20,check this evening,6,diseased,,257,61,62,,92
99,70,CN4,3,ok,6,10,heat,disease,2,placebo_slurry,7,59,yes,249,250,healthy,,2,7,healthy,no,,,,,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,,,,,7,healthy ,,258,,,,70
35,39,ML2,1,ok,3,4,ambient,disease,2,s_m_placebo,8,60,yes,251,252,healthy,,2,8,diseased,YES,188,15,16,,diseased,,,17,18,,8,diseased,,,117,118,,8,diseased,,,151,152,,8,diseased,,,7,8,,8,diseased,,,21,22,check this evening,8,diseased,,,23,24,,8,diseased,,,21,22,,8,diseased,,,21,22,check this evening,8,diseased,,259,63,65,,39
58,14,ML2,2,ok,7,11,ambient,disease,2,disease_slurry,9,61,yes,253,254,healthy,,2,9,healthy,no,,,,,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,diseased,,,23,24,,9,diseased,,,25,26,,9,diseased,,,23,24,,9,diseased,,,23,24,,9,diseased,,260,66,67,,14
91,138,HS1,3,ok,6,10,heat,disease,2,s_m_placebo,10,62,yes,255,256,healthy,,2,10,healthy,no,,,,,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,261,,,,138
49,130,HS1,2,ok,7,11,ambient,disease,2,s_m_placebo,11,63,yes,257,258,healthy,,2,11,healthy,no,,,,,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,,,,,11,healthy ,,262,,,,130
136,67,CN4,4,ok,7,11,ambient,disease,2,placebo_slurry,12,64,yes,259,260,healthy,,2,12,healthy,no,,,,,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,263,,,,67
106,114,CN2,3,ok,5,9,heat,disease,2,s_m_placebo,13,65,yes,261,262,healthy,,2,13,healthy,no,,,,,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,,,,,13,healthy ,,264,,,,114
51,88,CN2,2,ok,5,9,heat,disease,2,placebo_slurry,14,66,yes,263,264,healthy,,2,14,healthy,no,,,,,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,265,,,,88
117,165,CN2,3,ok,7,11,ambient,disease,2,s_marcscens,15,67,yes,265,266,healthy,,2,15,healthy,no,,,,,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,,,,,15,healthy ,,266,,,,165
84,108,CN2,2,ok,2,3,ambient,disease,2,s_marcscens,16,68,yes,267,268,healthy,,2,16,healthy,no,,,,,diseased,YES,193,43,44,,16,dead,na,na,na,na,na,16,dead,na,na,na,na,removed,16,dead,na,na,na,na,na,16,dead,na,na,na,na,na,16,dead,na,na,na,na,na,16,dead,na,na,na,na,na,16,dead,na,na,na,na,na,16,dead,na,na,na,na,na,108
